number,incident_state,active,made_sla,caller_id,opened_at,sys_updated_at,category,subcategory,impact,priority,assigned_to,knowledge,closed_code,resolved_by,resolved_at,closed_at
INC0000045,New,TRUE,TRUE,Caller 2403,29-02-2016 01:16,29-02-2016 01:23,Internal IT,Infrastructure support on application,2 - Medium,3 - Moderate,,TRUE,code 5,Resolved by 149,29-02-2016 11:29,05-03-2016 12:00
INC0000047,Resolved,TRUE,TRUE,Caller 2403,29-02-2016 01:16,29-02-2016 08:53,Internal IT,Infrastructure support on application,2 - Medium,3 - Moderate,,TRUE,code 5,Resolved by 149,29-02-2016 11:29,05-03-2016 12:00
INC0000057,Closed,FALSE,TRUE,Caller 2403,29-02-2016 01:16,05-03-2016 12:00,Internal IT,Infrastructure support on application,2 - Medium,3 - Moderate,,TRUE,code 5,Resolved by 149,29-02-2016 11:29,05-03-2016 12:00
INC0000060,New,TRUE,TRUE,Caller 2403,29-02-2016 04:40,29-02-2016 04:57,Admin,Building access required,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 5,Resolved by 81,01-03-2016 09:52,06-03-2016 10:00
INC0000062,Active,TRUE,TRUE,Caller 2403,29-02-2016 04:40,29-02-2016 05:30,Admin,Building access required,2 - Medium,3 - Moderate,Resolver 31,TRUE,code 5,Resolved by 81,01-03-2016 09:52,06-03-2016 10:00
INC0000063,Awaiting User Info,TRUE,TRUE,Caller 2403,29-02-2016 04:40,01-03-2016 09:14,Admin,Building access required,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 5,Resolved by 81,01-03-2016 09:52,06-03-2016 10:00
INC0000064,Resolved,TRUE,TRUE,Caller 2403,29-02-2016 04:40,01-03-2016 09:52,Admin,Building access required,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 5,Resolved by 81,01-03-2016 09:52,06-03-2016 10:00
INC0000065,Closed,FALSE,TRUE,Caller 2403,29-02-2016 04:40,06-03-2016 10:00,Admin,Building access required,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 5,Resolved by 81,01-03-2016 09:52,06-03-2016 10:00
INC0000066,New,TRUE,TRUE,Caller 4416,29-02-2016 06:10,29-02-2016 06:26,HR Services,Please change the manager details due to change in project,2 - Medium,3 - Moderate,?,TRUE,code 10,Resolved by 5,01-03-2016 02:55,06-03-2016 03:00
INC0000067,Resolved,TRUE,TRUE,Caller 4416,29-02-2016 06:10,01-03-2016 02:55,HR Services,Please change the manager details due to change in project,2 - Medium,3 - Moderate,Resolver 6,TRUE,code 10,Resolved by 5,01-03-2016 02:55,06-03-2016 03:00
INC0000070,Closed,FALSE,TRUE,Caller 4416,29-02-2016 06:10,06-03-2016 03:00,HR Services,Please change the manager details due to change in project,2 - Medium,3 - Moderate,Resolver 6,TRUE,code 10,Resolved by 5,01-03-2016 02:55,06-03-2016 03:00
INC0000071,New,TRUE,TRUE,Caller 4491,29-02-2016 06:38,29-02-2016 06:42,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 125,TRUE,code 3,Resolved by 113,02-03-2016 12:06,07-03-2016 13:00
INC0000073,Active,TRUE,TRUE,Caller 4491,29-02-2016 06:38,02-03-2016 08:52,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 125,TRUE,code 3,Resolved by 113,02-03-2016 12:06,07-03-2016 13:00
INC0000074,Resolved,TRUE,TRUE,Caller 4491,29-02-2016 06:38,02-03-2016 12:06,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 125,TRUE,code 3,Resolved by 113,02-03-2016 12:06,07-03-2016 13:00
INC0000076,Closed,FALSE,TRUE,Caller 4491,29-02-2016 06:38,07-03-2016 13:00,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 125,TRUE,code 3,Resolved by 113,02-03-2016 12:06,07-03-2016 13:00
INC0000077,New,TRUE,TRUE,Caller 3765,29-02-2016 06:58,29-02-2016 07:26,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 62,29-02-2016 15:51,05-03-2016 16:00
INC0000079,Resolved,TRUE,TRUE,Caller 3765,29-02-2016 06:58,29-02-2016 15:51,Application/DB Access,"Password expired, reset the password",1 - High,2 - High,?,TRUE,code 7,Resolved by 62,29-02-2016 15:51,05-03-2016 16:00
INC0000080,Closed,FALSE,FALSE,Caller 3765,29-02-2016 06:58,05-03-2016 16:00,Application/DB Access,"Password expired, reset the password",1 - High,2 - High,?,TRUE,code 7,Resolved by 62,29-02-2016 15:51,05-03-2016 16:00
INC0000083,New,TRUE,TRUE,Caller 2146,29-02-2016 07:08,29-02-2016 07:17,HR Services,Please change the manager details due to change in project,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 62,29-02-2016 16:01,05-03-2016 17:00
INC0000084,Resolved,TRUE,TRUE,Caller 2146,29-02-2016 07:08,29-02-2016 16:01,HR Services,Please change the manager details due to change in project,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 62,29-02-2016 16:01,05-03-2016 17:00
INC0000085,Closed,FALSE,TRUE,Caller 2146,29-02-2016 07:08,05-03-2016 17:00,HR Services,Please change the manager details due to change in project,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 62,29-02-2016 16:01,05-03-2016 17:00
INC0000086,New,TRUE,TRUE,Caller 2838,29-02-2016 07:10,29-02-2016 07:14,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,Resolver 78,TRUE,code 6,Resolved by 71,03-03-2016 16:00,08-03-2016 17:00
